id,keyword,paragraph
77,뉴그린,"외국어 표기 : New Green(영어). 분류 : 채소류 > 엽채류. 주요 생산지 : -대구 동산 (팔공산)-경기 이천 등 전국. 특징 : 브로콜리의 종류 중 하나로 토스카노(Toscano)라고도 하며, 보통의 브로콜리는 꽃봉오리와 꽃대를 식용으로 하지만 뉴그린은 잎을 식용으로 하는 것이 특징이다.. 영양성분 : 비타민 C 와 베타카로틴 , 칼륨 , 칼슘 , 인이 보통 채소의 2 배에 달할 정도로 높은 영양가를 함유하고 있다.. 효능 : 생채로 먹으면 소장을 튼튼하게 하고 , 말려서 차로 마시면 간의 피로를 풀어주는 효과가 있다.. 열량 : 100g당 40kcal. 음식궁합 : 쌈채소로 많이 이용한다. 특히 비타민과 무기질을 많이 함유하고 있다.. 활용 : 샐러드, 쌈채, 무침, 녹즙 등 주로 생으로 먹고 국을 끓이거나 살짝 데쳐 초장에 찍어 먹기도 한다.. 고르는 법 : 앞면에 올록볼록한 요철이 많은 것 , 잎에 윤기가 흐르고 녹색이 짙고 선명한 것 , 잎에 점이 없이 깨끗하고 크기가 고른 것이 좋다.. 손질법 : 지저분한 부분은 떼어내어 깨끗이 정리해주고, 흐르는 물에 5~6번 씻어준다.. 보관법 : 씻지 않은 상태에서 한 번에 먹을 만큼 나누어 신문지에 싸서 냉장고에 보관한다.. 먹는 법 : 생으로 먹거나 익혀 먹는다.. "
78,셀러리,"분류 : 채소 > 엽경채류. 주요 생산지 : - 경기 안성- 강원 고성, 횡성, 태백 - 전남 광양- 경남 김해, 의령 - 충남 예산. 제철 : 6월~7월, 9월~11월. 유사재료 : 아스파라거스 (맛은 모두 쌉싸름하나 셀러리에 세다놀이라는 특수한 방향 성분이 들어 있고 아스파라거스는 아스파라젠산이 들어 있으며 죽순과 비슷하게 생김). 특징 : 약용 채소로 사용될 정도로 영양이 풍부한 셀러리는 줄기와 잎뿐 아니라 뿌리와 씨도 모두 식용할 수 있다.. 효능 : 풍부한 칼륨이 나트륨을 몸 밖으로 배출시키는 데 도움을 주며 식이섬유 함유량이 많고 포만감을 줘 다이어트 음식으로도 효과적이다.. 열량 : 100g당 26kcal. 음식궁합 : 사과의 펩틴성분이 콜레스테롤 성분을 배출시키고 칼륨이 몸속 염분을 배출해 혈압 상승을 억제시켜준다.. 활용 : 뿌리는 익힌 후 수프나 파스타 소스의 재료로, 줄기와 잎은 샐러드나 다양한 볶음 요리의 재료로 활용된다.. 고르는 법 : 줄기가 굵고 길며 단단한 것이 좋다. 연녹색을 띠며 줄기의 심줄이 또렷하게 박혀 있는 것을 고른다.. 손질법 : 줄기와 잎을 분리한 후 필러로 줄기의 질긴 심줄을 벗겨낸다. 생으로 이용할 경우 잎줄기 끝을 잘라내 씁쓸한 맛과 향을 줄일 수 있다.. 보관법 : 신문지에 싸서 냉장고 신선실에 보관한다. 잎과 줄기를 데친 후 냉동 보관하면 장기 보관할 수 있다.. "
79,청경채,"외국어 표기 : Bok Choy(영어). 분류 : 채소류 > 엽채류. 원산지 : 중국. 주요 생산지 : -경기 용인, 이천, 포천, 광주, 안성-강원 고성 등. 유사재료 : 다채(비타민). 특징 : 특별한 맛(오미)가 있지는 않지만 부드러운 양배추와 시금치의 중간 맛 정도가 나며, 수분이 많아 아삭하게 씹히는 식감이 특징이다.. 종류(구분, 품종) : 청경채, 적청경채. 효능 및 영양성분 : 비타민 C가 풍부하고 칼륨과 칼슘이 많아 혈압 감소에 도움을 주고, 열량은 낮고 식이섬유가 풍부해 체중관리에 효과적이다.. 열량 : 100g당 18kcal. 음식궁합 : 청경채에 함유된 지용성 베타카로틴은 기름과 만나면 더욱 잘 흡수가 되기 때문에 기름에 볶거나 데칠 때 참기름 몇 방울을 떨어트리면 좋다.. 활용 : 쌈 채소나 샐러드에 생으로 넣어 먹고, 볶음용 요리에 활용된다.. 고르는 법 : 잎 부분은 폭이 넓고 부드러우며, 줄기 부분은 굵으면서 두툼하고 단단한 것이 좋다.. 손질법 : 시들거나 지저분한 부분은 정리해주고, 흐르는 물에 깨끗이 씻어서 이용한다.. 보관법 : 씻지 않은 상태에서 비닐 팩에 넣어 냉장 보관한다. 이때 비닐 팩에 구멍을 조금 뚫어주면 더 신선하게 보관할 수 있다.. 먹는 법 : 생으로 먹거나 뜨거운 물에 살짝 데쳐 먹는다. 혹은 다른 재료들과 함께 기름에 볶아 먹는다.. "
80,감자,"외국어 표기 : Potato(영어). 학명 : Salanum tuberosum L. 분류 : 서류. 정의 : 가지과에 속하는 다년생 초본식물. 주요 생산지 : - 봄 감자 : 경기 여주, 전북 김제, 전남 보성, 경남 밀양- 고랭지 감자 : 강원도 평창- 가을 감자 : 제주. 유사재료 : 고구마. 효능 및 영양성분 : 전분은 위산과다로 생긴 질병과 손상된 위를 회복하는 데 효과적이다. 감자의 비타민C는 전분에 의해 보호되어 가열에 의한 손실이 적으므로 다양하게 조리하여 먹어도 충분한 영양섭취가 가능하다.. 열량 : 100g당 63kcal (생것), 70kcal (찐 것). 음식궁합 : 치즈와 같이 섭취하면 감자에 부족한 단백질과 지방을 보충해 준다. 감자의 칼륨은 버터에 함유된 염분이 지나치게 흡수되는것을 막아준다.. 활용 : 삶거나 굽고, 기름에 튀기는 등 다양한 조리법을 활용하여 요리하고 알코올의 원료와 당면, 공업용 원료로도 활용된다.. 고르는 법 : 들었을 때 묵직하면서 단단한 것을 고른다. 표면에 흠집이 적고 껍질에 주름이 없는 것이 좋다.. 손질법 : 흙을 털어내고 깨끗이 씻은 뒤 감자의 껍질을 벗긴 후 용도에 맞게 사용한다.. 보관법 : 통풍이 잘되고 서늘하면서 직사광선을 받지 않는 어두운 곳에 저장한다.   온도는 1~4℃ 사이로 유지해주는 것이 중요하다.. 먹는 법 : 독성물질을 함유한 표면의 녹색 부분을 잘라내고, 싹은 씨눈 부위까지 크게 도려내어 제거한 후 사용한다.. "
81,허브,"외국어 표기 : herb(영어). 분류 : 채소 > 허브류. 어원/유래 : ‘푸른 풀’이라는 라틴어 허바(Herba)에서 유래되었다.. 특징 : 과거에는 주로 약초나 관상용으로 사용되었지만, 현재는 식용으로서의 가치 및 활용도도 높아지고 있다. 현재 세계적으로 약용과 식용으로 사용되는 허브류(향신료)는 약 140여 가지로 알려져 있다.. 종류(구분, 품종) : 로즈메리, 바질, 파슬리, 애플민트, 고수, 타임, 딜, 차이브, 타라곤, 오레가노, 마조람, 펜넬, 터버릭, 넛메그 등. 열량(100g당) : - 로즈메리 : 131Kcal (보통 그대로 섭취하지 않고 향을 이용하므로 실제 섭취 열량은 이보다 낮을 수 있음)- 바질 : 22.5Kcal- 파슬리 : 36.1Kcal- 애플민트 : 38Kcal- 고수 : 22Kcal- 타임 : 101Kcal (보통 그대로 섭취하지 않고 향을 이용하므로 실제 섭취 열량은 이보다 낮을 수 있음)- 딜 : 43Kcal- 차이브 : 30Kcal- 티라곤 : 295Kcal (말린 것)- 오레가노 : 66Kcal. 음식궁합 : 육류, 생선, 해물 요리에 사용하면 냄새를 제거해주고 음식의 풍미를 더욱 좋게 만들어 준다.. 활용 : 약용이나 식용으로 사용된다.. 고르는 법 : 생 허브는 시든 잎이 없고 특유의 향이 강한 것을 고른다. 말린 허브는 불순물이 섞여 있지 않은지, 잎 외에 줄기 부분이 많이 섞여 있지는 않은지 확인한다.. 손질법 : 허브 잎은 수분에 약하므로 사용하기 직전에 씻어 손질한다.. 보관법 : 생 허브는 젖은 키친타월로 감싸 비닐 팩에 넣고, 입김을 불어 밀봉해 냉장 보관한다.. "
82,수박,"학명 : Citrullus vulgaris Schrad. 영명 : Watermelon. 정의 : 쌍떡잎식물 박목 박과에 속하는 일년생 덩굴식물. 원산지 : - 열대아프리카로 추정되는데 고대 이집트에서도 재배하였고 우리나라에 도입된 경로는 확실하지 않으나 중국을 통해 도입된 것으로 알려져 있음- 원산지는 남아프리카 지역이며, 수박을 뜻하는 산스크리트어가 있고 초기 이집트 화가가 그린 수박도 있어 4000년 전부터 재배돼온 것으로 추정되며, 이집트로부터 중근동에 전파됐고, 해로를 경유 해서 인도에도 기원전에 전파된 후 중국에 전파된 경로는 중앙아시아의 터키인에 의해 천산남로(天山南路)를 거쳐 11세기경에 전해진 것으로 추정되고 있음. 생산지 : 함안, 고창, 고령, 영동 단양 등. 형태 및 재배특성 : - 수박 줄기는 길게 자라서 땅 위를 기며 가지가 갈라짐- 잎은 잎자루가 있고 달걀 모양 또는 긴 타원형이며 길이 10~18cm이고 깃꼴로 깊게 갈라짐- 갈래조각은 3~4쌍이고, 녹색 빛을 띤 흰색이며 불규칙한 톱니가 있음- 원줄기는 지상으로 2m 가량 길게 뻗으면서 가지가 여러개로 갈라지고 전체에 백색털이 있으며 마디에 덩굴손이 있음- 높은 온도를 좋아하는 고온성 작물로 고온에서 생육이 양호하며, 과채류 중 가장 많은 햇빛을 요구함- 겉의 색은 여러 가지이고, 과육은 수분이 많아 달며 대부분 적색이지만 황색 또는 백색인 것도 있음- 수박은 열대성 식물로 재배 기간에 비교적 높은 온도(25℃)가 요구되며, 발아적온은 25~30℃임- 토양은 통기성이 좋으며 물이 잘 빠지는 곳으로 토양산도 pH 5.0~6.8이 적당함- 수확은 개화 후, 25~30일이면 실시하는데 광택이 나고 두들겨 보아 청명한 음이 나는 것이 익은 것임. 특징 : - 번식은 종내육종법, 접목, 잡종법, 종간잡종법, 실생법 등이 있으며 양토에서 잘 자라고 7~8월에 결실을 맺음- 유사종으로는 참외와 오이가 있으며 일조량이 풍부하고 따뜻한 지역에서 많이 생산됨- 우리나라에서 재배되는 품종은 대략 둥근 모양인데, 긴 타원형인 품종도 있음- 껍질의 색깔도 짙은 녹색에서 녹색, 노란, 흰색 등이고 세로줄무늬 모양도 굵은 검정에서 가늘고 엷은색에 이르기까지 다양함- 현재 주된 재배 품종으로는 신대화 3호를 중심으로 한 대화계 품종간의 1대 잡종들로 과육은선홍색이고 껍질에 호랑이무늬가 있음 - 열매의 속살은 붉고 단데 식용하고, 씨는 검거나 붉은데 차(茶)의 재료로도 쓰는데, 속명(Citrullus)은 귤나무속(Citrus)에서 유래하며, 종명(lanatus)은 ‘부드러운 털이 있는’을 뜻함- 수박의 가장 큰 특징으로는 수분이 많아 ‘watermelon’이라고 불릴 정도로 약 90% 이상이 수분으로 이루어져 있음 - 수박은 열대성 식물로 재배 기간에 비교적 높은 온도(25℃)가 요구되며, 발아적온은 25~30℃임- 토양은 통기성이 좋으며 물이 잘 빠지는 곳으로 토양산도 pH 5.0~6.8이 적당함- 수확은 개화 후, 25~30일이면 실시하는데 광택이 나고 두들겨 보아 청명한 음이 나는 것이 익은 것임- 서과(西瓜)·수과(水瓜)·한과(寒瓜)·시과(時瓜)라고도 함. 기원 및 분포 : - 중앙아프리카 원산인 수박은 기원전 2,000년 전에 이집트인들이 재배하여 먹었다고 전해짐- 무어인들이 스페인을 정복하면서 유럽으로 건너왔을 것으로 추측됨. 국내 전파 : - 우리나라에는 고려 충렬왕 대 원나라에서 처음 들어와 개성에서 재배한 것으로 알려짐- 한국에는 조선시대 《연산군일기》(1507)에 수박 재배에 대한 기록이 나타난 것으로 보아 그 이전에 들어온 것으로 추정되며, 오늘날에는 일반재배는 물론 시설원예를 통한 연중재배가 이루어지고 있으며우수한 품종은 물론 씨없는 수박도 생산되고 있고 한방과 민간에서는 구창·방광염·보혈·강장 등에 쓰임- 수박은 참외와 더불어 예로부터 여름과실 채소의 쌍벽을 이루어 왔으며, 우리나라에는 고려 때 몽고에 귀화한 홍다구(洪茶丘, 1244~1291)가 처음으로 개성에 수박을 심었다고 전해지고 있다 - 신사임당(1504~1559)의 그림으로 알려진 초충도(草蟲圖)에 수박이 자세하게 그려져 있는 것으로보아 조선시대 초기에는 이미 수박의 재배가 보편화된 것으로 추정되며, 초충도에 나타난 수박은 줄무늬가 있지만, 조선시대부터 재배되어 온 무등산수박은 줄무늬가 없음. 출처 : 농식품백과사전, 농촌진흥청, 농업기술원, 한국민족문화대백과. "
83,치커리,"외국어 표기 : Chicory. 분류 : 채소류 > 엽채류. 원산지 : 북유럽. 주요 생산지 : 전국 생산. 유사재료 : 상추. 특징 : 다양한 종류가 있어 종류에 따라 색과 모양이 다르며, 일반적으로 특유의 씁쓰름한 맛을 갖고 있다.. 종류(구분, 품종) : 슈가로프, 트레비소, 라디치오/레드치커리, 로사 이탈리아나, 민들레치커리, 적치커리, 치콘. 효능 및 영양성분 : 열량은 낮은 반면 식이섬유와 칼륨, 칼슘뿐 아니라 각종 무기질, 비타민이 풍부해 비만 등 각종 성인병 예방과 다이어트에 도움을 준다. 쓴맛을 내는 인티빈이라는 성분은 소화촉진, 콜레스테롤 수치 저하, 항암 예방에 도움이 된다.. 열량 : 100g당 16kcal (치커리 잎 기준). 음식궁합 : 비타민과 칼륨 ,칼슘이 풍부해 동물성 단백질이 풍부한 돼지고기와 함께 먹으면 영양적으로 효과적이다.. 활용 : 우리나라에서는 쌈 채소, 샐러드 등 생으로 활용하는 경우가 많지만, 독일과 프랑스에서는 굵은 뿌리를 말려 가루로 만든 다음 커피 대용으로 마시거나 커피의 색이나 쓴맛을 짙게 하는 첨가제로 사용하기도 한다.. 고르는 법 : 각 치커리 고유의 색이 선명하고 만져보았을 때 줄기가 단단하며 잎이 싱싱하고 윤기가 있는 것을 고른다.. 손질법 : 뿌리에 지저분한 것들을 제거하고 흐르는 물에 깨끗이 씻어 사용한다.. 보관법 : 신문이나 키친타월 등에 싸서 비닐 팩에 넣고 냉장고에 보관한다.. 먹는법 : 샐러드나 쌈 채소, 무침 등으로 먹는다. 요리에 사용할 때 쓴맛이 강할 경우, 설탕을 곁들여 주면 쓴맛을 줄일 수 있다.. "
84,콜라비,"외국어 표기 : Kohlrabi(영어). 분류 : 채소 > 엽경채류. 주요 생산지 : - 전남 강진 , 해남- 전북 익산- 제주. 제철 : 11월~12월. 어원/유래 : 양배추와 순무를 교배한 채소로 독일어 Kohl(양배추)과 rabic(순무)를 합성한 Kohlrabi(콜라비)라고 불린다.. 특징 : 모양은 무와 비슷하지만 , 무의 맵고 아린 맛이 아닌 단맛이 난다.. 효능 : 비타민 함량이 다른 엽경채류 대비 4~5배 높아 고혈압을 예방하고 조혈 작용을 돕는다.. 열량 : 100g 당 28kcal. 음식궁합 : 우유와 함께 섭취하면 칼슘 흡수율이 높아진다. 콜라비의 소화효소가 현미의 소화 흡수를 도와준다.. 활용 : 줄기는 샐러드 등 생으로 먹고 잎은 쌈 채소나 녹즙으로 이용한다.. 고르는 법 : 잎이 보송보송하고 짙은 녹색을 띠며 줄기의 크기는 테니스 공 크기가 적당하다.. 손질법 : 흐르는 물에 흙을 씻어낸다. 껍질이 매우 단단하므로 손을 다치지 않도록 주의해야 한다.. 보관법 : 잎을 분리한 후 줄기 부분을 젖은 키친타월로 싸거나 비닐 팩에 밀봉하여 냉장고 신선실에 보관한다.. "
85,솔부추,"분류 : 채소 > 엽경채류. 주요 생산지 : 경기도 양주 , 연천. 제철 : 12월~이듬해 1월. 유사재료 : 부추. 어원/유래 : 잎의 폭이 좁고 꼬여있는 모양이 솔잎처럼 생겨 솔부추로 불린다.. 특징 : 잎의 크기는 재래부추에 비해 1/5 정도이며 일반 부추에 비해 향과 단맛, 아삭한 식감이 강하다.. 효능 : 매운맛을 내는 알리신이 비타민 B1의 체내 흡수율을 높여 피로 해소에 효과적이다.. 열량 : 100g당 22kcal (재래종, 생것). 음식궁합 : 육류와 잘 어울리며 된장국이나 재첩국에도 잘 어울린다. 따뜻한 부추의 성분이 오이의 차고 냉한 성분을 중화시켜 준다.. 활용법 : 겉절이, 무침 요리로 사용하며 비린내를 제거하기 위해 육류와 생선회 요리의 부재료로 활용된다.. 고르는 법 : 잎은 두께가 일정하고 짙은 녹색이 고르게 착색되어 있으며 줄기가 곧게 뻗어있는 것이 좋다.. 손질법 : 물에 담가 흔들어 씻은 후 흐르는 물에 한 가닥씩 씻는다.. 보관법 : 젖은 종이타월에 싼 후 비닐 팩에 밀봉하여 냉장 보관한다.. "
86,얼갈이배추,"외국어 : Winter grown cabbage(영어). 분류 : 채소 > 엽경채류. 주요 생산지 : - 경기 여주- 강원 정선, 태백, 영월, 강릉- 전북 고창, 정읍- 전남 해남, 진도, 나주. 제철 : 11월~12월. 특징 : 일반 배추와 달리 속이 꽉 차지 않고 잎의 끝 부분이 벌어진 채로 자란다.. 효능 및 영양성분 : 수분과 식이섬유소가 많고 탄수화물이 적으며 열량이 낮아 다이어트에 적합하다. 일반 배추보다 베타카로틴, 비타민A, C의 함량이 높고, 설포라판 성분이 들어있어 암 예방에 효과가 있다.. 열량 : 100g당 11kcal. 음식궁합 : 비타민C가 풍부한 얼갈이배추, 된장과 함께 섭취하면 환상궁합이다. 감기 예방에 좋고 저열량, 저지방채소로 다이어트에 좋다.. 활용 : 겉절이 김치나 데친 후 나물 무침 또는 된장국에 넣어 먹는다.. 고르는 법 : 잎은 짙은 녹색을 띠고 두께가 얇은 것이 좋다. 줄기는 연하고 가는 것을 고른다. 잎의 크기에 따라 큰 잎은 국거리용, 작은 잎은 겉절이나 나물 무침용으로 사용한다.. 손질법 : 무르거나 마른 잎 등 신선도가 떨어진 잎 등은 떼어내고 뿌리를 자른 후 흐르는 물에 여러 번 깨끗이 씻어 용도에 맞게 사용한다.. 보관법 : 물기를 제거한 후 키친타월이나 신문지에 싸서 서늘한 곳에 보관한다. 중심대가 질길 경우 데친 후 냉동 보관하여 국거리로 사용하면 좋다.. "
87,아스파라거스,"외국어 표기 : Asparagus(영어). 분류 : 채소 > 엽경채류. 원산지 : 유럽 남부, 폴란드, 러시아. 주요 생산지 : - 경기 평택- 강원 양구- 제주도유럽 남부, 폴란드, 러시아. 제철 : 4월~5월. 효능 : 피로 회복과 자양강장의 효과가 뛰어난 아스파라긴산을 다량 함유하고 있어 숙취 해소에 좋다.. 열량 : 100g당 15kcal. 음식궁합 : 토마토와 함께 섭취하면 아스파라거스의 아스파라긴산과 토마토 유기산 신맛이 위의 염증을 가라앉혀주고 피로회복과 체내의 수분유지, 미용에 효과가 있다. 그린아스파라거스로 피클을 만들면 질감, 색, 영양면에서 뛰어나다.. 활용 : 샐러드, 볶음 요리의 재료 또는 각종 요리의 가니시로 활용한다.. 고르는 법 : 봉우리가 단단하고 끝이 모여 있는 형태의 것이 좋고 줄기는 굵지만 연한 것을 고른다.. 손질법 : 필러로 줄기 아랫부분의 섬유질 껍질을 벗겨 질긴 식감을 제거한다. 데칠 때는 굵은 뿌리부터 데친 후 나머지를 데친다.. 보관법 : 젖은 신문지에 싼 후 비닐 팩이나 랩에 싸서 냉장 보관한다.. "
88,레몬그라스,"외국어 표기 : Lemongrass(영어). 분류 : 채소 > 엽경채류. 원산지 : 동남아시아, 인도, 중남미. 효능 및 영양성분 : 줄기에 항산화 물질인 클로로겐산을 함유하고 있어 암을 예방하는 효능이 있다. 향기 성분인 시트랄은 아로마 테라피로 활용되며 두통과 스트레스 해소에 효과적이다.. 열량 : 100g당 99kcal. 음식궁합 : 고기와 잘맞는 향신료로 음식의 풍미를 높여 준다. 비타민A, B, C, 칼슘, 칼륨, 철, 망간, 구리, 마그네슘, 미네랄이 풍부하다. 시트럴성분이 식중독예방 도움이 된다.. 활용 : 음식의 향신료로 사용되거나 볶음 요리, 소스의 재료로 사용된다.. 고르는 법 : 줄기가 단단하고 상처가 없는지 확인한다. 녹색이 고르게 착색되고 들었을 때 중량감이 있는 것이 좋다.. 손질법 : 생으로 사용할 경우 향미가 빠져나올 수 있도록 줄기에 칼집을 내거나 밀대로 찧는다.. 보관법 : 비닐 팩에 밀봉하여 냉장고 신선실에 보관한다.. "
89,수수,"외국어 표기 : Sorghum(영어). 분류 : 곡류. 원산지 : 아프리카. 주요 생산지 : -충북 괴산, 단양, 제천-전북 정읍-전남 강진, 보성, 신안-강원 영월 등. 유사재료 : 조. 특징 : 오곡(五穀)에 속하며 예로부터 수수의 붉은색이 나쁜 귀신의 접근을 막는다 하여 어린아이의 돌이나 생일에 수수팥떡을 만들어 먹기도 하였다.. 종류(구분, 품종) : 메수수, 찰수수. 효능 및 영양성분 : 풍부하게 함유된 철, 인과 같은 무기질 등이 단백질 생성을 촉진하는 작용을 해 피부 미용에 도움 주며, 수용성 식이섬유가 풍부해 혈중 콜레스테롤을 떨어트려 주고, 프로안토시아니딘이라는 성분이 방광의 면역 기능을 강화하고 염증을 완화하는 데 도움을 준다.. 열량 : 100g당 374kcal (찰수수, 생것). 음식궁합 : 팥과 함께 섭취하면 콜레스트롤을 억제하고 노폐물 제거에 좋다. 고구마와 함께 섭취하면 소화가 잘되어 속이 편안하다.. 활용 : 찰수수는 잡곡밥, 떡 등으로 활용되며 메수수는 공업용, 맥주, 음료수의 원료로 이용되고 있다.. 고르는 법 : 낱알이 고르고 둥근 것을 고른다. 국산 수수는 수입 수수에 비해 둥근 편이고 반투명 낱알이 거의 없으며 낱알에 붉은 속껍질이 남아있는 편이다.. 손질법 : 흐르는 물에 깨끗이 씻어 이물질이 혼합되어있는지 확인하고 제거한 뒤 채반에 물기를 빼고 용도에 맞게 사용한다.. 보관법 : 도정한 수수는 습도가 높을수록 수분함량이 높아져 물러지는 경향이 있기 때문에, 건조한 곳에 잘 밀봉하여 보관해야 한다.. 먹는법 : 쌀과 함께 불린 뒤 밥을 짓거나, 약 불에서 볶아 물을 넣고 차로 우려먹는다.. "
90,샬롯,"외국어 표기 : Shallot(영어). 분류 : 채소 > 엽경채류. 주요 생산지 : -수입 : 유럽 프랑스, 인도-국내 : 경남 함양. 제철 : 7월~8월. 특징 : 외관은 양파와 매우 유사하나 크기는 양파의 1/4 정도로 작고 단맛이 더 강한 특징이 있다. 수분이 적어 6개월 이상 보관할 수 있다.. 종류(구분, 품종) : 갈색 샬롯, 바나나 샬롯. 효능 : 암 예방에 효과적인 퀘르세틴을 양파보다 2.7배 많이 함유하고 있으며 콜레스테롤 수치를 유지하는 알리신이 풍부하다.. 열량 : 100g당 72kcal. 음식궁합 : 양파와 한종류로 양파요리에 사용하면 유용하다. 생으로 섭취해도 좋고 구워 먹어도 된다.. 활용 : 양파와 같이 각종 요리에 활용되나 단맛이 강하기 때문에 맛에 주의하며 사용한다.. 고르는 법 : 무른 부분 없이 단단하며 갈색이 옅게 착색되어있는 것을 고른다.. 손질법 : 잎줄기를 자른 후 껍질을 벗긴다. 깨끗이 씻은 후 물기를 제거하여 용도에 맞게 손질한다.. 보관법 : 서늘하고 건조하며 통풍이 잘 되는 장소에서 보관한다.. "
91,옥수수,"외국어 : Corn(영어). 분류 : 곡류. 원산지 : 라틴 아메리카. 주요 생산지 : -강원 홍천, 영월, 평창-충북 괴산. 특징 : 밀, 벼와 함께 세계 3대 식량 작물 중 하나로 적은 일손으로 많은 양의 작물 수확이 가능하여 ‘순금의 열매’로 불렸다.. 종류(구분, 품종) : 찰옥수수, 단옥수수, 초당옥수수, 튀김옥수수. 효능 및 영양성분 : 비타민 B1, B2, E와 칼륨, 철분 등의 무기질도 풍부하고 옥수수의 씨눈에는 필수 지방산인 리놀레산이 풍부해 콜레스테롤을 낮춰주고 동맥경화 예방에 도움을 준다.. 열량 : 100g당 142kcal (찰옥수수, 생것), 132kcal (찰옥수수, 찐 것)109kcal (단옥수수, 생것), 135kcal (단옥수수, 찐 것). 음식궁합 : 옥수수에는 라이신, 트립토판과 같은 필수 아미노산이 부족해 라이신이 풍부한 콩, 트립토판이 풍부한 우유, 고기, 달걀 등과 함께 섭취하면 좋다.. 활용 : 찰옥수수는 대부분 쪄 먹는 용도로 이용되고 , 단옥수수류는 삶아 먹거나 과일처럼 생으로 먹기도 하고 통조림 등 가공식품으로 이용된다 . 팝콘 등 튀김옥수수를 튀겨 간식용으로도 많이 활용한다.. 고르는 법 : 껍질의 색이 선명한 녹색이며 마르지 않고 모양이 타원형인 것을 고른다. 껍질이 벗겨져 있는 옥수수를 고를 때는 알맹이가 굵고 촘촘히 박혀있으며 알맹이를 눌렀을 때 탄력이 있고 딱딱하지 않은 것을 고른다.. 손질법 : 영양소 손실을 막기 위해 먹기 직전에 껍질을 벗기고 손질하는 것이 좋다 . 배아 부분에 영양이 집중되어 있으므로 , 가급적 알맹이를 손으로 빼면 배아가 함께 떨어져 나와 영양 손실을 줄일 수 있고 , 칼로 알맹이를 잘라낼 경우 숟가락 등을 이용해서 배아까지 긁어내어 사용하면 좋다.. 보관법 : 수확한 옥수수는 시간이 지날수록 당분이 전분으로 변하여 단맛이 떨어지기 때문에 바로 먹지 않는 경우에는 한번 찐 다음 냉동 보관하는 것이 좋다.. "
92,조,"외국어 표기 : Foxtail Millet, Italian Millet(영어). 분류 : 곡류. 원산지 : 중앙아시아, 중동. 주요 생산지 : -전남 신안, 해남, 고흥-경북 안동-제주도 등. 특징 : 병충해가 적어 농약을 적게 사용하는 무공해 작물이며, 크기가 매우 작아 흔히 작고 좀스러운 사람이나 물건을 보고 ‘좁쌀’만 하다는 표현을 하기도 한다.. 종류(구분, 품종) : 차조, 메조. 효능 및 영양성분 : 철분이 풍부하여 빈혈을 예방해주고, 칼륨과 마그네슘 또한 풍부해 관절염과 골다공증에 좋다. 또한 식이섬유의 함량이 높아 체중 감소에 도움이 되고 배변 활동을 도와 변비와 대장암 예방에 효과적이다.. 열량 : 100g당 366kcal (차조, 도정곡, 생것), 386kcal (메조, 도정곡, 생것). 음식궁합 : 노란색 조는 기를 보태주고 소변이 잘 나오며 소화력이 떨어지는사람에게 좋아 죽으로 이용하면 좋다.. 활용 : 차조는 주로 밥에 넣어 먹는 잡곡으로 많이 이용되고, 메조는 주로 문배주, 막걸리, 가자미식해, 엿 등을 만들어 먹는다.. 고르는 법 : 조의 낟알이 고르고 둥글기보다는 약간 납작한 것을 고른다. 수입 조는 국내산과 비교했을 때 낟알이 크고 고르지 않고 납작하기보다 동글동글하며 색이 어두운 편이다.. 손질법 : 볼에 조를 넣고 물을 담은 뒤 손으로 문질러 비벼 여러 번 씻어 사용한다.. 보관법 : 벌레가 생기지 않도록 통에 밀봉하여, 직사광선을 피해 10~15℃ 정도의 서늘한 곳에 보관한다.. 먹는 법 : 차조밥을 지을 때는 쌀과 함께 30분가량 불려준 뒤 밥을 얹는다.. "
