이름,id,대분류,소분류,재료,건강정보,조회수,link
콩나물삼색볶음,1988957,48164,48204,"['네모어묵', '콩나물', '마늘', '맛술', '간장', '참기름', '소금', '오이', '양파', '파', '깨소금']","['항암', '고혈압', '관절염']","32,447",/entry.nhn?docId=1988957&cid=48164&categoryId=48204
두부김치볶음,1988899,48164,48204,"['배추김치', '대파', '설탕', '청양고추', '소금', '참기름', '홍고추', '맛술', '마늘', '두부']","['항암', '고혈압', '관절염']","26,136",/entry.nhn?docId=1988899&cid=48164&categoryId=48204
양배추햄굴소스마늘볶음,1989204,48164,48204,"['햄', '굴소스', '올리브오일', '양배추', '통깨', '풋마늘대', '소금', '맛술']",['항암'],"24,957",/entry.nhn?docId=1989204&cid=48164&categoryId=48204
오징어고추장볶음,1989577,48164,48204,"['고추장', '후춧가루', '당근', '통깨', '참기름', '양념장', '간장', '오징어', '대파', '물엿', '고춧가루', '청주', '양배추', '홍고추', '양파', '마늘', '생강', '소금', '청고추']","['항암', '고혈압', '관절염']","23,723",/entry.nhn?docId=1989577&cid=48164&categoryId=48204
보리새우고추채볶음,1989282,48164,48204,"['보리새우', '설탕', '마늘', '물엿', '통깨', '간장', '소금', '홍고추', '청주', '풋고추']","['항암', '고혈압', '관절염']","22,038",/entry.nhn?docId=1989282&cid=48164&categoryId=48204
닭불고기,1990006,48164,48204,"['마늘', '물엿', '생강', '고춧가루', '간장', '참기름', '검은후추', '양파', '청주', '닭고기']","['항암', '고혈압', '관절염']","16,280",/entry.nhn?docId=1990006&cid=48164&categoryId=48204
해산물 카레볶음,1991127,48164,48204,"['홍고추', '물', '청주', '새우', '식용유', '카레', '홍합', '고춧가루', '청피망', '양파', '마늘', '오징어', '청고추']","['항암', '고혈압', '관절염']","10,671",/entry.nhn?docId=1991127&cid=48164&categoryId=48204
새우 고추장 떡볶이,1991020,48164,48204,"['물', '고추장', '대파', '다시마', '양념장', '떡볶이떡', '어묵', '청파프리카', '양배추', '설탕', '칵테일새우', '올리고당', '고춧가루', '홍파프리카', '양파', '다시마물', '마늘', '간장']","['항암', '고혈압', '관절염']","7,046",/entry.nhn?docId=1991020&cid=48164&categoryId=48204
박속나물 낙지볶음,1992980,48164,48204,"['박속', '설탕', '깻잎', '밀가루', '굵은고춧가루', '다진마늘', '붉은고추', '간장', '대파', '양념', '고춧가루', '들기름', '양파', '낙지', '생강즙', '소금', '풋고추', '고운고춧가루', '액젓', '깨소금']","['항암', '고혈압']","6,667",/entry.nhn?docId=1992980&cid=48164&categoryId=48204
쇠고기 잡채,1991374,48164,48204,"['굴소스', '쇠고기양념장', '녹말가루', '다진마늘', '후춧가루', '식용유', '피망', '간장', '참기름', '죽순', '소금', '양파', '청주', '쇠고기']","['고혈압', '관절염']","5,408",/entry.nhn?docId=1991374&cid=48164&categoryId=48204
잡채,5682412,48164,48204,"['당면', '시금치', '느타리버섯', '당근', '식용유', '마른', '목이버섯', '계란', '소금', '홍고추', '양파']","['항암', '고혈압']","3,276",/entry.nhn?docId=5682412&cid=48164&categoryId=48204
버섯 굴소스볶음,1991336,48164,48204,"['굴소스', '양송이버섯', '바지락조갯살', '느타리버섯', '후춧가루', '새송이버섯', '참기름', '다진마늘', '깨소금']",['고혈압'],"209,175",/entry.nhn?docId=1991336&cid=48164&categoryId=48204
고사리나물,1988793,48164,48204,"['물', '대파', '식용유', '고사리', '양념', '간장', '깨소금', '마늘', '불린']","['항암', '고혈압', '관절염']","184,883",/entry.nhn?docId=1988793&cid=48164&categoryId=48204
콩나물잡채,1990145,48164,48204,"['당면', '부추', '각색파프리카', '콩나물', '식용유', '설탕', '당면양념', '간장', '참기름', '양파', '깨소금']","['항암', '고혈압']","88,954",/entry.nhn?docId=1990145&cid=48164&categoryId=48204
표고버섯 간장떡볶이,1991118,48164,48204,"['쇠고기양념장', '떡', '대파', '설탕', '마늘', '통깨', '떡밑간양념', '표고버섯', '간장', '참기름', '청피망', '양파', '파', '쇠고기']","['항암', '고혈압', '관절염']","85,063",/entry.nhn?docId=1991118&cid=48164&categoryId=48204
잔멸치호두볶음,1989288,48164,48204,"['청주', '후춧가루', '마늘', '잔멸치', '통깨', '잣가루', '물엿', '볶음양념장', '참기름', '호두', '간장', '실고추']","['항암', '고혈압', '관절염']","72,830",/entry.nhn?docId=1989288&cid=48164&categoryId=48204
박나물,1991937,48164,48204,"['참깨가루', '들기름', '소금', '박']",[],"70,615",/entry.nhn?docId=1991937&cid=48164&categoryId=48204
오이 느타리버섯볶음,1992617,48164,48204,"['올리브오일', '깨소금', '느타리버섯', '후춧가루', '쇠고기양념', '오이', '소금', '간장', '붉은고추', '풋고추', '느타리버섯양념', '청주', '쇠고기']",[],"68,283",/entry.nhn?docId=1992617&cid=48164&categoryId=48204
쇠고기 오이볶음,1990750,48164,48204,"['올리브오일', '물', '검은깨', '천일염', '오이', '배즙', '쇠고기안심', '쇠고기']","['항암', '당뇨']","61,423",/entry.nhn?docId=1990750&cid=48164&categoryId=48204
잔새우견과류볶음,1989283,48164,48204,"['올리브오일', '땅콩', '아몬드슬라이스', '후춧가루', '잔새우', '설탕', '통깨', '소금', '잣', '호두']",['고혈압'],"54,156",/entry.nhn?docId=1989283&cid=48164&categoryId=48204
삼색나물,1990831,48164,48204,"['물', '육수', '양념', '시금치나물', '고사리나물', '도라지나물', '다진파', '실고추']",[],"23,889",/entry.nhn?docId=1990831&cid=48164&categoryId=48204
콩나물오징어굴소스볶음,1988964,48164,48204,"['굴소스', '적채', '청주', '깨소금', '후춧가루', '콩나물', '양념장', '양배추', '설탕', '고춧가루', '소금', '참기름', '홍고추', '양파', '마늘', '오징어']","['항암', '고혈압', '관절염']","17,947",/entry.nhn?docId=1988964&cid=48164&categoryId=48204
오징어불고기,1989578,48164,48204,"['고추장', '청주', '후춧가루', '설탕', '파', '생강', '통깨', '소금', '간장', '불고기양념장', '홍고추', '양파', '마늘', '오징어', '실고추']","['항암', '고혈압', '관절염']","16,280",/entry.nhn?docId=1989578&cid=48164&categoryId=48204
두부 팔보채,1992644,48164,48204,"['굴소스', '물', '고추기름', '조개관자', '후춧가루', '당근', '새우살', '식용유', '양송이', '피망', '소금', '녹말물', '마늘', '두부']","['항암', '고혈압', '관절염']","15,829",/entry.nhn?docId=1992644&cid=48164&categoryId=48204
북어구이양념숙주볶음,1989300,48164,48204,"['실파', '북어', '구이양념', '숙주', '썬', '마늘', '마늘즙', '통깨', '소금', '참기름', '숙주양념', '고춧가루', '청주', '실고추']","['항암', '고혈압', '관절염']","14,392",/entry.nhn?docId=1989300&cid=48164&categoryId=48204
애호박들깨볶음,3406074,48164,48204,"['애호박', '청국장가루', '멸치다시마육수', '들깻가루', '새우젓다진것', '매실주', '다진마늘', '홍고추', '양파', '대파다진것']",['고혈압'],"13,927",/entry.nhn?docId=3406074&cid=48164&categoryId=48204
매운바지락고추볶음,1990044,48164,48204,"['굴소스', '바지락', '다진생강', '물', '녹말', '식용유', '마른고추', '물녹말', '양념', '참기름', '다진마늘', '다진파', '간장']",[],"13,721",/entry.nhn?docId=1990044&cid=48164&categoryId=48204
가지두부,1992364,48164,48204,"['고추기름', '물', '청주', '후춧가루', '마른가지', '대파', '식용유', '물녹말', '양념', '설탕', '마늘', '두반장', '참기름', '붉은고추', '풋고추', '돼지고기', '간장', '두부']","['항암', '고혈압', '관절염']","13,002",/entry.nhn?docId=1992364&cid=48164&categoryId=48204
개조개 볶음,1992677,48164,48204,"['양송이버섯', '고추기름', '된장', '대파', '개조개', '물엿', '다진', '붉은고추', '풋고추', '고춧가루', '양념장']",['고혈압'],"5,729",/entry.nhn?docId=1992677&cid=48164&categoryId=48204
호박채청포묵볶음,1989011,48164,48204,"['애호박', '깨소금', '청포묵', '쪽파', '흰', '들기름', '청양고추', '소금', '홍고추', '맛술', '마늘', '간장']","['항암', '고혈압', '관절염']","5,247",/entry.nhn?docId=1989011&cid=48164&categoryId=48204
미역줄기잡채,1992754,48164,48204,"['식용유', '영콘', '소금', '붉은고추', '염장미역줄기']",[],"3,818",/entry.nhn?docId=1992754&cid=48164&categoryId=48204
두부두반장매운볶음,1988909,48164,48204,"['굴소스', '청주', '후춧가루', '대파', '마른', '멸치', '청경채', '생강', '두반장', '소금', '참기름', '물녹말', '홍고추', '마늘', '두부']","['항암', '고혈압', '관절염']","3,727",/entry.nhn?docId=1988909&cid=48164&categoryId=48204
떡볶이,5685347,48164,48204,"['물', '고추장', '떡', '어묵', '설탕', '물엿', '간장']",[],"1,013",/entry.nhn?docId=5685347&cid=48164&categoryId=48204
찹스테이크,1992565,48164,48204,"['올리브오일', '굴소스', '후춧가루', '적포도주', '설탕', '빨강피망', '케첩', '소스', '피망', '소금', '양파', '쇠고기', '토마토케첩']","['고혈압', '관절염']","585,487",/entry.nhn?docId=1992565&cid=48164&categoryId=48204
마른새우 마늘종볶음,1992586,48164,48204,"['올리브오일', '마른새우', '양념장', '설탕', '통깨', '맛술', '간장', '마늘종']",[],"458,644",/entry.nhn?docId=1992586&cid=48164&categoryId=48204
간단 낙지볶음,1992918,48164,48204,"['고추장', '다진마늘', '후춧가루', '대파', '당근', '식용유', '양념', '다진', '설탕', '낙지', '통깨', '고춧가루', '소금', '참기름', '붉은고추', '풋고추', '양파', '간장']","['항암', '고혈압']","139,472",/entry.nhn?docId=1992918&cid=48164&categoryId=48204
깻잎표고버섯볶음,1989055,48164,48204,"['마늘', '깻잎', '소금', '참기름', '깨소금', '양파', '생표고버섯', '파', '간장']","['항암', '고혈압', '관절염']","118,896",/entry.nhn?docId=1989055&cid=48164&categoryId=48204
닭가슴살 마늘구이,1990428,48164,48204,"['상추', '당근', '식용유', '설탕', '찹쌀가루', '마늘', '깻잎', '파프리카', '맛술', '닭가슴살', '간장', '청고추']","['항암', '고혈압', '관절염']","48,660",/entry.nhn?docId=1990428&cid=48164&categoryId=48204
감자소시지볶음,1988933,48164,48204,"['굴소스', '볶음장', '후춧가루', '쪽파', '소시지', '마늘', '통깨', '맛술', '소금', '양파', '감자', '간장']","['항암', '고혈압', '관절염']","47,802",/entry.nhn?docId=1988933&cid=48164&categoryId=48204
돼지불고기,1990017,48164,48204,"['고추장', '콩기름', '설탕', '마늘', '생강', '고춧가루', '참기름', '돼지고기', '양파', '파', '간장']","['항암', '고혈압', '관절염']","45,992",/entry.nhn?docId=1990017&cid=48164&categoryId=48204
감자채볶음과 파프리카,1990289,48164,48204,"['청주', '후춧가루', '포도씨유', '마늘', '노랑파프리카', '간장', '소금', '감자', '빨강파프리카']","['항암', '고혈압', '관절염']","41,609",/entry.nhn?docId=1990289&cid=48164&categoryId=48204
돼지고기 가지볶음,1992599,48164,48204,"['고추장양념장', '후춧가루', '식용유', '통깨', '고춧가루', '꽈리고추', '참기름', '다진마늘', '돼지고기', '가지', '다진파', '양념장']","['항암', '고혈압']","38,258",/entry.nhn?docId=1992599&cid=48164&categoryId=48204
감자채볶음,1988916,48164,48204,"['쪽파', '마늘', '통깨', '맛술', '소금', '양파', '감자', '흰']","['항암', '고혈압', '관절염']","28,737",/entry.nhn?docId=1988916&cid=48164&categoryId=48204
해물잡채,1988322,48164,48204,"['홍고추', '깨', '당면', '새우', '청피망', '대파', '식용유', '버섯', '설탕', '목이버섯', '기호에따라푸른야채로대체할수', '표고버섯', '소금', '참기름', '오이', '양파', '마늘', '오징어']","['항암', '고혈압', '관절염']","28,417",/entry.nhn?docId=1988322&cid=48164&categoryId=48204
닭고기 양파볶음,1992068,48164,48204,"['물', '후춧가루', '식용유', '닭', '버터', '피망', '소금', '죽순', '양파', '단호박']","['항암', '고혈압', '관절염']","24,494",/entry.nhn?docId=1992068&cid=48164&categoryId=48204
시금치양배추볶음,1988947,48164,48204,"['시금치', '쪽파', '들깻가루', '들기름', '양배추', '청양고추', '소금', '홍고추', '맛술', '마늘', '간장']","['항암', '고혈압', '관절염']","21,890",/entry.nhn?docId=1988947&cid=48164&categoryId=48204
해물 떡볶이,3390251,48164,48204,"['새우', '대파', '떡볶이떡', '어묵', '양배추', '홍합', '꽃게', '양파', '오징어', '팽이버섯']","['항암', '고혈압']","17,520",/entry.nhn?docId=3390251&cid=48164&categoryId=48204
버섯고기볶음,1990041,48164,48204,"['실파', '당근', '양송이', '고추가루', '참깨', '간장', '소금', '양파', '마늘', '쇠고기', '옥수수기름']","['항암', '고혈압', '관절염']","14,409",/entry.nhn?docId=1990041&cid=48164&categoryId=48204
두부콩나물볶음,1988900,48164,48204,"['콩나물', '당근', '마늘', '파', '볶음양념장', '고춧가루', '소금', '참기름', '깨소금', '양파', '청주', '간장', '두부']","['항암', '고혈압', '관절염']","14,149",/entry.nhn?docId=1988900&cid=48164&categoryId=48204
애호박볶음,1990495,48164,48204,"['애호박', '들기름', '새우젓', '통깨', '다진대파', '소금', '다진마늘', '홍고추', '양파']",['고혈압'],"13,212",/entry.nhn?docId=1990495&cid=48164&categoryId=48204
시금치닭살볶음,1988944,48164,48204,"['청주', '시금치', '후춧가루', '마늘', '파', '두반장', '소금', '참기름', '홍고추', '닭가슴살', '깨소금']","['항암', '고혈압', '관절염']","6,809",/entry.nhn?docId=1988944&cid=48164&categoryId=48204
시금치보리새우볶음,1988951,48164,48204,"['보리새우', '시금치', '마늘채', '통깨', '소금', '참기름', '실고추']",['항암'],"5,073",/entry.nhn?docId=1988951&cid=48164&categoryId=48204
김치낙지잡채,1989098,48164,48204,"['후춧가루', '당근', '김장배추김치', '설탕', '낙지', '생강', '잡채양념장', '맛술', '소금', '참기름', '간장', '홍고추', '양파', '마늘', '깨소금', '청고추']","['항암', '고혈압', '관절염']","3,728",/entry.nhn?docId=1989098&cid=48164&categoryId=48204
생목이버섯현미수제비볶음,3406036,48164,48204,"['맛간장', '다른버섯으로', '부추', '느타리버섯', '멸치다시마육수', '생목이버섯', '들깻가루', '다진마늘', '생표고버섯', '실파로', '해초소금']",['항암'],"2,960",/entry.nhn?docId=3406036&cid=48164&categoryId=48204
브로콜리옥수수스크램블,1989196,48164,48204,"['올리브오일', '청주', '후춧가루', '옥수수', '대파', '달걀', '우유', '브로콜리', '소금', '무침양념장', '마늘']","['항암', '고혈압', '관절염']","2,839",/entry.nhn?docId=1989196&cid=48164&categoryId=48204
카레 조랭이 떡볶이,1991460,48164,48204,"['물', '방울토마토', '식용유', '어묵', '카레', '조랭이떡', '케첩', '올리고당', '청피망', '양파', '홍피망']",['고혈압'],"2,492",/entry.nhn?docId=1991460&cid=48164&categoryId=48204
원산잡채  해산물을 풍성하게 넣은,5668090,48164,48204,"['당면', '깨소금', '섭조개', '참기름', '소금', '문어', '풋고추', '양파', '간장', '대합']",['고혈압'],"1,085",/entry.nhn?docId=5668090&cid=48164&categoryId=48204
고사리 나물,1991200,48164,48204,"['육수', '식용유', '고사리', '참기름', '다진마늘', '깨소금', '다진파', '간장']",[],"218,105",/entry.nhn?docId=1991200&cid=48164&categoryId=48204
고추잡채,1989918,48164,48204,"['대파', '식용유', '돼지등심살', '달걀흰자', '마늘', '생강', '후추', '참기름', '피망', '소금', '불린표고버섯', '죽순', '양파', '청주', '간장', '조미료']","['항암', '고혈압', '관절염']","83,827",/entry.nhn?docId=1989918&cid=48164&categoryId=48204
어묵 칠리소스볶음,1991401,48164,48204,"['청주', '후춧가루', '식용유', '핫칠리소스', '어묵', '청파프리카', '홍파프리카', '마늘', '간장']","['항암', '고혈압', '관절염']","68,068",/entry.nhn?docId=1991401&cid=48164&categoryId=48204
콩나물불고기,1990541,48164,48204,"['배즙', '청주', '느타리버섯', '콩나물', '대파', '설탕', '마늘', '미나리', '물엿', '생강즙', '간장', '참기름', '소금', '홍고추', '양파', '양파즙', '쇠고기', '팽이버섯']","['항암', '고혈압', '관절염']","33,967",/entry.nhn?docId=1990541&cid=48164&categoryId=48204
양파 제육김치,1992355,48164,48204,"['배추김치', '다진생강', '고추장', '다진마늘', '후춧가루', '밥', '고기양념', '설탕', '물엿', '고춧가루', '국간장', '참기름', '붉은고추', '돼지고기', '양파', '다진파', '소금', '풋고추']",['고혈압'],"29,894",/entry.nhn?docId=1992355&cid=48164&categoryId=48204
스팸 떡잡채,1991383,48164,48204,"['깨소금', '후춧가루', '스팸', '당근', '식용유', '설탕', '가래떡', '간장', '참기름', '다진마늘', '청피망', '양파', '다진파', '소금', '쇠고기']","['항암', '고혈압']","29,835",/entry.nhn?docId=1991383&cid=48164&categoryId=48204
중화풍등심새송이버섯볶음,1989481,48164,48204,"['홍고추', '굴소스', '녹말가루', '후춧가루', '새송이버섯', '당근', '쪽파', '다시마', '청양고추', '미나리', '마늘', '통깨', '소금', '참기름', '돼지고기', '양파', '청주', '간장']","['항암', '고혈압', '관절염']","27,451",/entry.nhn?docId=1989481&cid=48164&categoryId=48204
브로콜리호두볶음,1989194,48164,48204,"['올리브오일', '검은깨', '설탕', '브로콜리', '물엿', '통깨', '소금', '호두', '간장']","['항암', '고혈압', '당뇨', '관절염']","24,919",/entry.nhn?docId=1989194&cid=48164&categoryId=48204
골뱅이 굴소스볶음,1991210,48164,48204,"['양송이버섯', '올리브오일', '굴소스', '청주', '마늘', '파프리카', '간장', '참기름', '청피망', '골뱅이', '홍피망', '양파']","['항암', '고혈압', '관절염']","19,648",/entry.nhn?docId=1991210&cid=48164&categoryId=48204
쇠고기 자장 볶음과 중국 꽃빵,1992149,48164,48204,"['물', '녹말', '대파', '꽃빵', '식용유', '녹말물', '설탕', '달걀흰자', '쇠고기', '죽순', '청주', '볶은자장']",[],"17,417",/entry.nhn?docId=1992149&cid=48164&categoryId=48204
느타리버섯볶음,1990000,48164,48204,"['느타리버섯', '콩기름', '마늘', '소금', '참기름', '깨소금', '양파', '파', '간장']","['항암', '고혈압', '관절염']","14,357",/entry.nhn?docId=1990000&cid=48164&categoryId=48204
가지중화풍나물,1989020,48164,48204,"['굴소스', '고추기름', '청주', '후춧가루', '대파', '설탕', '생강', '두반장', '소금', '참기름', '돼지고기', '가지', '마늘']","['항암', '고혈압', '관절염']","13,380",/entry.nhn?docId=1989020&cid=48164&categoryId=48204
감자조갯살볶음,1988926,48164,48204,"['고추장', '대파', '청양고추', '마늘', '생강즙', '물엿', '소금', '감자', '간장', '조갯살']","['항암', '고혈압', '관절염']","10,178",/entry.nhn?docId=1988926&cid=48164&categoryId=48204
토마토 해산물 떡볶이,1992817,48164,48204,"['물', '고추장', '새우', '방울토마토', '떡볶이용떡', '식용유', '양념', '빨강피망', '물엿', '피망', '맛술', '핫소스', '오징어', '토마토케첩']","['고혈압', '관절염']","8,811",/entry.nhn?docId=1992817&cid=48164&categoryId=48204
도라지 호박나물,1992651,48164,48204,"['도라지', '애호박', '물', '식용유', '들기름', '잣가루', '소금', '붉은고추']","['항암', '관절염']","8,687",/entry.nhn?docId=1992651&cid=48164&categoryId=48204
북어채 파래볶음,1992830,48164,48204,"['올리브오일', '설탕', '통깨', '북어채', '소금', '마늘', '파래김']","['항암', '고혈압', '관절염']","7,556",/entry.nhn?docId=1992830&cid=48164&categoryId=48204
두부 오키나와식 볶음,1990278,48164,48204,"['배추김치', '다진생강', '부추', '식물성', '후춧가루', '양념', '마늘', '소금', '참기름', '다진마늘', '돼지고기', '숙주나물', '청주', '간장', '두부']","['항암', '고혈압', '관절염']","7,491",/entry.nhn?docId=1990278&cid=48164&categoryId=48204
시금치참치볶음,1988949,48164,48204,"['청주', '시금치', '후춧가루', '대파', '참치', '소금', '홍고추', '마늘', '간장']","['항암', '고혈압', '관절염']","6,928",/entry.nhn?docId=1988949&cid=48164&categoryId=48204
연근 카레풍미볶음,1990247,48164,48204,"['연근', '후춧가루', '마른고추', '카레가루', '포도씨유', '마늘', '건조', '소금', '청주', '간장']","['항암', '고혈압', '관절염']","6,693",/entry.nhn?docId=1990247&cid=48164&categoryId=48204
콩나물다진쇠고기볶음,1988968,48164,48204,"['후춧가루', '쇠고기밑간', '콩나물', '파', '생강즙', '통깨', '소금', '참기름', '간장', '홍고추', '마늘', '쇠고기', '청고추']","['항암', '고혈압', '관절염']","6,293",/entry.nhn?docId=1988968&cid=48164&categoryId=48204
단호박과 꽈리고추볶음,1992243,48164,48204,"['후춧가루', '단호박', '식용유', '설탕', '꽈리고추', '소금', '다진마늘', '청주', '간장', '팽이버섯']","['항암', '고혈압']","6,223",/entry.nhn?docId=1992243&cid=48164&categoryId=48204
조랭이 햄 떡볶이,1991432,48164,48204,"['물', '고추장', '깨소금', '캔햄', '식용유', '양념장', '조랭이떡', '참기름', '올리고당', '맛술', '소금', '간장', '다진마늘', '청피망', '양파', '홍피망', '토마토케첩']",['고혈압'],"5,810",/entry.nhn?docId=1991432&cid=48164&categoryId=48204
호박고지를 넣은 쇠고기볶음,1992365,48164,48204,"['실파', '후춧가루', '식용유', '숙주', '새우젓', '소금', '참기름', '붉은고추', '양파', '마늘', '쇠고기', '호박고지']","['항암', '고혈압', '관절염']","4,677",/entry.nhn?docId=1992365&cid=48164&categoryId=48204
취나물볶음,1990367,48164,48204,"['깨', '취나물', '파', '참기름', '마늘', '간장']","['항암', '고혈압', '관절염']","3,217",/entry.nhn?docId=1990367&cid=48164&categoryId=48204
취나물 볶음,1991451,48164,48204,"['취나물', '들기름', '참기름', '국간장', '소금', '다진마늘', '다진파', '깨소금', '시판원물멸치조미료']",[],"196,957",/entry.nhn?docId=1991451&cid=48164&categoryId=48204
팔보채,1989625,48164,48204,"['후춧가루', '설탕', '표고버섯', '참기름', '물녹말', '중하', '오징어', '양념장', '고추기름', '물', '대파', '청피망', '청주', '죽순', '양파', '마늘', '굴소스', '홍합', '청경채', '목이버섯', '생강', '노랑파프리카', '소금', '주황파프리카']","['항암', '고혈압', '관절염']","173,863",/entry.nhn?docId=1989625&cid=48164&categoryId=48204
고구마줄기나물,1988816,48164,48204,"['깨', '식용유', '소금', '참기름', '고구마순', '마늘']","['항암', '고혈압', '관절염']","91,626",/entry.nhn?docId=1988816&cid=48164&categoryId=48204
불고기,1990050,48164,48204,"['당근', '설탕', '마늘', '참기름', '후추', '표고버섯', '쇠고기', '양파', '파', '간장']","['항암', '고혈압', '관절염']","65,125",/entry.nhn?docId=1990050&cid=48164&categoryId=48204
궁중떡볶이,1990699,48164,48204,"['물', '배', '당근', '떡볶이떡', '김', '쇠고기', '통깨', '표고버섯', '참기름', '오이', '쇠고기안심', '간장']","['항암', '고혈압']","60,427",/entry.nhn?docId=1990699&cid=48164&categoryId=48204
방울토마토 스크램블드에그,1990264,48164,48204,"['애호박', '식물성', '방울토마토', '다진마늘', '후춧가루', '달걀', '소금', '새우젓', '양파']",['고혈압'],"54,481",/entry.nhn?docId=1990264&cid=48164&categoryId=48204
아욱 들깨볶음,1991043,48164,48204,"['쪽파', '들기름', '들깨가루', '소금', '아욱', '마늘', '올리브유']","['항암', '고혈압', '관절염']","48,948",/entry.nhn?docId=1991043&cid=48164&categoryId=48204
애호박소시지볶음,1989013,48164,48204,"['애호박', '후춧가루', '설탕', '케첩소스', '통깨', '피망', '소금', '간장', '홍고추', '비엔나소시지', '마늘', '토마토케첩']","['항암', '고혈압', '관절염']","39,753",/entry.nhn?docId=1989013&cid=48164&categoryId=48204
시금치새송이버섯볶음,1988943,48164,48204,"['굴소스', '시금치', '후춧가루', '새송이버섯', '대파', '들기름', '맛술', '소금', '양파', '마늘', '깨소금']","['항암', '고혈압', '관절염']","37,766",/entry.nhn?docId=1988943&cid=48164&categoryId=48204
가지볶음,1992317,48164,48204,"['물', '바지락조갯살', '후춧가루', '식용유', '설탕', '호박', '볶음양념장', '맛술', '간장', '참기름', '소금', '메추리알', '가지', '마늘', '양파']","['항암', '고혈압', '관절염']","33,046",/entry.nhn?docId=1992317&cid=48164&categoryId=48204
멸치잣볶음,1990453,48164,48204,"['땅콩', '잔멸치', '올리고당', '통깨', '잣', '올리브유']",[],"29,576",/entry.nhn?docId=1990453&cid=48164&categoryId=48204
쇠고기 굴소스 볶음,1992450,48164,48204,"['굴소스', '후춧가루', '대파', '떡볶이떡', '숙주', '빨강피망', '배추잎', '양파', '마늘', '쇠고기']","['항암', '고혈압', '관절염']","20,546",/entry.nhn?docId=1992450&cid=48164&categoryId=48204
아스파라거스와 베이컨볶음,1992241,48164,48204,"['베이컨', '후춧가루', '빨강피망', '바질', '소금', '양파', '아스파라거스']",['고혈압'],"18,672",/entry.nhn?docId=1992241&cid=48164&categoryId=48204
등심채소당면볶음,1989473,48164,48204,"['홍고추', '굴소스', '당면', '청주', '녹말가루', '후춧가루', '당근', '쪽파', '설탕', '청양고추', '청경채', '소금', '참기름', '돼지고기', '양파', '마늘', '깨소금']","['항암', '고혈압', '관절염']","17,202",/entry.nhn?docId=1989473&cid=48164&categoryId=48204
김치튀긴두부두루치기,1989083,48164,48204,"['배추김치', '실파', '물', '깨소금', '튀김기름', '설탕', '생강즙', '고춧가루', '소금', '참기름', '돼지고기', '양파', '마늘', '간장', '두부']","['항암', '고혈압', '관절염']","15,872",/entry.nhn?docId=1989083&cid=48164&categoryId=48204
자반미역볶음,1990074,48164,48204,"['식용유', '설탕', '튀김기름', '설탕시럽', '마늘', '마른미역']","['항암', '고혈압', '관절염']","14,895",/entry.nhn?docId=1990074&cid=48164&categoryId=48204
콩나물파프리카볶음,1988971,48164,48204,"['올리브오일', '콩나물', '다시마', '청양고추', '물엿', '소스', '식초', '잣가루', '소금', '참기름', '청피망', '맛술', '마늘', '빨강파프리카', '주황파프리카']","['항암', '고혈압', '관절염']","14,140",/entry.nhn?docId=1988971&cid=48164&categoryId=48204
모둠야채와 쇠고기구이,1992301,48164,48204,"['양송이버섯', '방울토마토', '후춧가루', '드라이', '노랑피망', '버터', '브로콜리', '소금', '쇠고기', '가지', '마늘', '양파', '레드와인']","['항암', '고혈압', '관절염']","13,015",/entry.nhn?docId=1992301&cid=48164&categoryId=48204
토마토 떡볶이,1990543,48164,48204,"['물', '고추장', '쌀', '토마토', '양배추', '설탕', '떡볶이', '브로콜리', '파프리카', '고춧가루']","['항암', '고혈압', '당뇨', '관절염']","11,341",/entry.nhn?docId=1990543&cid=48164&categoryId=48204
매운모시조개볶음,1989602,48164,48204,"['후춧가루', '모시조개', '청양고추', '생강', '물엿', '참치액', '통깨', '소금', '참기름', '홍고추', '고춧가루', '마늘']","['항암', '고혈압', '관절염']","9,599",/entry.nhn?docId=1989602&cid=48164&categoryId=48204
콜리플라워 바지락볶음,1990260,48164,48204,"['바지락', '다진생강', '콜리플라워', '식물성', '후춧가루', '비타민', '대파', '양념', '연겨자', '소금', '다진마늘', '청주', '간장']",['항암'],"9,313",/entry.nhn?docId=1990260&cid=48164&categoryId=48204
화양적,1989455,48164,48204,"['육수', '후춧가루', '잣즙', '당근', '설탕', '잣가루', '표고버섯', '참기름', '오이', '간장', '물', '양념', '쇠고기', '통도라지', '쇠고기양념', '마늘', '달걀', '소금', '파', '깨소금']","['항암', '고혈압', '관절염']","8,557",/entry.nhn?docId=1989455&cid=48164&categoryId=48204
더덕불고기,1989238,48164,48204,"['실파', '청주', '후춧가루', '사과즙', '설탕', '마늘', '생강', '불고기양념장', '더덕', '간장', '참기름', '맛술', '깨소금', '양파', '소금', '양파즙', '쇠고기']","['항암', '고혈압', '당뇨', '관절염']","7,901",/entry.nhn?docId=1989238&cid=48164&categoryId=48204
감자풋고추볶음,1988924,48164,48204,"['실파', '후춧가루', '마늘', '통깨', '소금', '홍고추', '맛술', '감자', '풋고추']","['항암', '고혈압', '관절염']","7,506",/entry.nhn?docId=1988924&cid=48164&categoryId=48204
반건조 모둠버섯 올리브유 마늘볶음,1990256,48164,48204,"['후춧가루', '새송이버섯', '화이트와인', '표고버섯', '간장', '다진', '소금', '맛타리버섯', '마늘', '올리브유']","['항암', '고혈압', '관절염']","6,816",/entry.nhn?docId=1990256&cid=48164&categoryId=48204
